===========================================================================
 MapReduce Job 5: User Activity Analysis (Top 30 Users)
===========================================================================
userId    totalRatings   avgRating   minRating   maxRating   
-----------------------------------------------------------------
414       2698           3.39        0.5         5.0         
599       2478           2.64        0.5         5.0         
474       2108           3.40        0.5         5.0         
448       1864           2.85        0.5         5.0         
274       1346           3.24        0.5         5.0         
610       1302           3.69        0.5         5.0         
68        1260           3.23        0.5         5.0         
380       1218           3.67        0.5         5.0         
606       1115           3.66        0.5         5.0         
288       1055           3.15        1.0         5.0         
249       1046           3.70        0.5         5.0         
387       1027           3.26        0.5         5.0         
182       977            3.51        0.5         5.0         
307       975            2.67        0.5         5.0         
603       943            3.51        1.0         5.0         
298       939            2.36        0.5         5.0         
177       904            3.38        0.5         5.0         
318       879            3.76        2.0         5.0         
232       862            3.25        0.5         5.0         
480       836            3.28        0.5         5.0         
608       831            3.13        0.5         5.0         
600       763            2.99        0.5         5.0         
483       728            3.62        0.5         5.0         
590       728            3.36        0.5         5.0         
105       722            4.12        0.5         5.0         
19        703            2.61        1.0         5.0         
305       677            3.92        0.5         5.0         
489       648            3.02        0.5         5.0         
111       646            3.34        0.5         5.0         
438       635            3.36        0.5         5.0         

-----------------------------------------------------------------
Total unique users: 610
