===========================================================================
 Hive Query 7: Year-wise Movie Release and Rating Trends
===========================================================================
year    movies    ratings     avg_rating  
---------------------------------------------
1902    1         5           3.50        
1903    1         2           2.50        
1908    1         1           4.00        
1915    1         1           2.00        
1916    4         5           3.60        
1917    1         1           4.50        
1919    1         1           2.00        
1920    2         8           3.81        
1921    1         5           4.10        
1922    1         16          3.53        
1923    4         7           3.64        
1924    5         6           3.58        
1925    4         19          3.79        
1926    5         13          4.00        
1927    7         29          3.69        
1928    4         13          3.65        
1929    4         9           3.83        
1930    5         17          4.21        
1931    14        76          3.61        
1932    9         24          3.33        
1933    12        65          3.73        
1934    10        34          4.09        
1935    13        46          3.97        
1936    18        53          3.53        
1937    16        115         3.66        
1938    15        56          3.77        
1939    22        201         3.76        
1940    25        223         3.82        
1941    18        197         3.90        
1942    22        185         3.92        
1943    10        20          3.62        
1944    16        92          4.04        
1945    16        42          3.54        
1946    23        138         3.95        
1947    20        52          3.85        
1948    19        80          3.85        
1949    25        72          3.76        
1950    21        161         3.81        
1951    21        182         3.80        
1952    16        96          3.95        
1953    29        153         3.65        
1954    23        272         4.01        
1955    36        182         3.72        
1956    30        115         3.68        
1957    33        215         4.04        
1958    31        165         3.84        
1959    37        243         3.79        
1960    37        251         3.72        
1961    33        225         3.70        
1962    39        262         3.97        
1963    39        287         3.63        
1964    43        376         3.94        
1965    47        234         3.74        
1966    42        190         3.82        
1967    42        381         3.92        
1968    42        434         3.81        
1969    35        218         3.69        
1970    32        244         3.75        
1971    47        533         3.84        
1972    39        366         3.94        
1973    59        483         3.76        
1974    44        466         3.94        
1975    42        637         3.88        
1976    44        423         3.76        
1977    63        567         3.81        
1978    59        490         3.46        
1979    69        786         3.68        
1980    89        944         3.73        
1981    91        792         3.76        
1982    87        1053        3.51        
1983    83        878         3.63        
1984    101       1441        3.53        
1985    126       1237        3.43        
1986    139       1581        3.46        
1987    153       1540        3.49        
1988    165       1551        3.42        
1989    141       1895        3.46        
1990    147       1926        3.43        
1991    146       1722        3.55        
1992    167       2013        3.35        
1993    198       3741        3.45        
1994    237       5296        3.50        
1995    259       6144        3.44        
1996    276       4509        3.34        
1997    260       3643        3.35        
1998    258       3557        3.43        
1999    261       4536        3.50        
2000    283       4268        3.40        
2001    294       3914        3.48        
2002    311       3642        3.41        
2003    279       3145        3.46        
2004    278       3390        3.51        
2005    273       2498        3.36        
2006    295       2584        3.50        
2007    284       2318        3.52        
2008    269       2151        3.53        
2009    282       1856        3.57        
2010    247       1715        3.57        
2011    253       1440        3.46        
2012    233       1386        3.51        
2013    239       1201        3.46        
2014    278       1320        3.51        
2015    274       1088        3.41        
2016    218       785         3.39        
2017    147       461         3.58        
2018    41        91          3.48        
